boamps_field,boamps_type,required,source_field,source_type,transformation,static_value,note
header.licensing,string,False,,,,,
header.formatVersion,string,False,,,,,
header.formatVersionSpecificationUri,string,False,,,,,
header.reportId,string,False,,,,,
header.reportDatetime,string,True,,,,,
header.reportStatus,string (enum),False,,,,,"Allowed values: draft, final, corrective, other"
header.publisher.name,string,False,,,,,
header.publisher.division,string,False,,,,,
header.publisher.projectName,string,False,,,,,
header.publisher.confidentialityLevel,string (enum),True,,,,,"Allowed values: public, internal, confidential, secret"
header.publisher.publicKey,string,False,,,,,
task.taskStage,string,True,,,,,
task.taskFamily,string,True,,,,,
task.nbRequest,number,False,,,,,
task.algorithms[0].trainingType,string,False,,,,,
task.algorithms[0].algorithmType,string,False,,,,,
task.algorithms[0].algorithmName,string,False,,,,,
task.algorithms[0].algorithmUri,string,False,,,,,
task.algorithms[0].foundationModelName,string,False,,,,,
task.algorithms[0].foundationModelUri,string,False,,,,,
task.algorithms[0].parametersNumber,number,False,,,,,
task.algorithms[0].framework,string,False,,,,,
task.algorithms[0].frameworkVersion,string,False,,,,,
task.algorithms[0].classPath,string,False,,,,,
task.algorithms[0].layersNumber,number,False,,,,,
task.algorithms[0].epochsNumber,number,False,,,,,
task.algorithms[0].optimizer,string,False,,,,,
task.algorithms[0].quantization,string,False,,,,,
task.dataset[0].dataUsage,string (enum),True,,,,,"Allowed values: input, output"
task.dataset[0].dataType,string (enum),True,,,,,"Allowed values: tabular, audio, boolean, image, video, object, text, token, word, other"
task.dataset[0].dataFormat,string (enum),False,,,,,"Allowed values: 3gp, 3gpp, 3gpp2, 8svx, aa, aac, aax, act, afdesign, afphoto, ai, aiff, alac, amr, amv, ape, arrow, asf, au, avi, avif, awb, bmp, bpg, cd5, cda, cdr, cgm, clip, cpt, csv, deep, dirac, divx, drawingml, drw, dss, dvf, ecw, eps, fits, flac, flif, flv, flvf4v, gem, gerber, gif, gle, gsm, heif, hp-gl, html, hvif, ico, iklax, ilbm, img, ivs, jpeg, json, kra, lottie, m4a, m4b, m4p, m4v, mathml, matroska, mdp, mmf, movpkg, mp3, mpc, mpeg1, mpeg2, mpeg4, msv, mxf, naplps, netpbm, nmf, nrrd, nsv, odg, ods, ogg, opus, pam, parquet, pbm, pcx, pdf, pdn, pgf, pgm, pgml, pict, plbm, png, pnm, postscript, ppm, psd, psp, pstricks, qcc, quicktime, ra, raw, realmedia, regis, rf64, roq, sai, sgi, sid, sql, sln, svg, svi, swf, text, tga, tiff, tinyvg, tta, vicar, vivoactive, vml, vob, voc, vox, wav, webm, webp, wma, wmf, wmv, wv, xaml, xar, xcf, xisf, xls, xlsx, xml, xps, yaml, other"
task.dataset[0].dataSize,number,False,,,,,
task.dataset[0].dataQuantity,number,False,,,,,
task.dataset[0].shape,string,False,,,,,
task.dataset[0].source,string (enum),False,,,,,"Allowed values: public, private, other"
task.dataset[0].sourceUri,string,False,,,,,
task.dataset[0].owner,string,False,,,,,
task.measuredAccuracy,number,False,,,,,
task.estimatedAccuracy,string (enum),False,,,,,"Allowed values: veryPoor, poor, average, good, veryGood"
task.taskDescription,string,False,,,,,
measures[0].measurementMethod,string,True,,,,,
measures[0].manufacturer,string,False,,,,,
measures[0].version,string,False,,,,,
measures[0].cpuTrackingMode,string,False,,,,,
measures[0].gpuTrackingMode,string,False,,,,,
measures[0].averageUtilizationCpu,number,False,,,,,
measures[0].averageUtilizationGpu,number,False,,,,,
measures[0].powerCalibrationMeasurement,number,False,,,,,
measures[0].durationCalibrationMeasurement,number,False,,,,,
measures[0].powerConsumption,number,True,,,,,
measures[0].measurementDuration,number,False,,,,,
measures[0].measurementDateTime,string,False,,,,,
system.os,string,True,,,,,
system.distribution,string,False,,,,,
system.distributionVersion,string,False,,,,,
software.language,string,True,,,,,
software.version,string,False,,,,,
infrastructure.infraType,string (enum),True,,,,,"Allowed values: publicCloud, privateCloud, onPremise, other"
infrastructure.cloudProvider,string,False,,,,,
infrastructure.cloudInstance,string,False,,,,,
infrastructure.cloudService,string,False,,,,,
infrastructure.components[0].componentName,string,False,,,,,
infrastructure.components[0].componentType,string,True,,,,,
infrastructure.components[0].nbComponent,integer,True,,,,,
infrastructure.components[0].memorySize,number,False,,,,,
infrastructure.components[0].manufacturer,string,False,,,,,
infrastructure.components[0].family,string,False,,,,,
infrastructure.components[0].series,string,False,,,,,
infrastructure.components[0].share,number,False,,,,,
environment.country,string,True,,,,,
environment.latitude,number,False,,,,,
environment.longitude,number,False,,,,,
environment.location,string,False,,,,,
environment.powerSupplierType,string (enum),False,,,,,"Allowed values: public, private, internal, other"
environment.powerSource,string (enum),False,,,,,"Allowed values: solar, wind, nuclear, hydroelectric, gas, coal, other"
environment.powerSourceCarbonIntensity,number,False,,,,,
quality,string (enum),False,,,,,"Allowed values: high, medium, low"
